,;utc_timestamp;price
1035,1035;96004;32.66
1036,1036;96005;36.9
1037,1037;96006;49.91
1038,1038;96007;75.06
1039,1039;96008;82.26
1040,1040;96009;78.58
1041,1041;96010;77.17
1042,1042;96011;75.94
1043,1043;96012;70.55
1044,1044;96013;69.91
1045,1045;96014;69.69
1046,1046;96015;72.52
1047,1047;96016;75.15
1048,1048;96017;91.81
1049,1049;96018;79.9
1050,1050;96019;78.62
1051,1051;96020;67.54
1052,1052;96021;47.94
1053,1053;96022;41.71
1054,1054;96023;35.57
1055,1055;96024;35.05
1056,1056;96025;33.31
1057,1057;96026;34.2
1058,1058;96027;33.51
1059,1059;96028;34.53
1060,1060;96029;35.61
1061,1061;96030;49.55
1062,1062;96031;67.91
1063,1063;96032;67.07
1064,1064;96033;62.27
1065,1065;96034;59.13
1066,1066;96035;57.69
1067,1067;96036;53.72
1068,1068;96037;54.95
1069,1069;96038;55.0
1070,1070;96039;60.24
1071,1071;96040;62.05
1072,1072;96041;70.03
1073,1073;96042;58.95
1074,1074;96043;54.65
1075,1075;96044;45.37
1076,1076;96045;40.0
1077,1077;96046;37.53
1078,1078;96047;33.98
1079,1079;96048;34.25
1080,1080;96049;33.29
1081,1081;96050;32.0
1082,1082;96051;31.92
1083,1083;96052;33.15
1084,1084;96053;35.51
1085,1085;96054;46.76
1086,1086;96055;58.99
1087,1087;96056;62.65
1088,1088;96057;59.99
1089,1089;96058;59.04
1090,1090;96059;59.56
1091,1091;96060;56.96
1092,1092;96061;57.98
1093,1093;96062;64.88
1094,1094;96063;65.1
1095,1095;96064;69.46
1096,1096;96065;80.99
1097,1097;96066;68.0
1098,1098;96067;71.71
1099,1099;96068;63.6
1100,1100;96069;48.09
1101,1101;96070;42.49
1102,1102;96071;37.06
1103,1103;96072;42.1
1104,1104;96073;39.44
1105,1105;96074;38.36
1106,1106;96075;38.28
1107,1107;96076;39.07
1108,1108;96077;39.01
1109,1109;96078;36.0
1110,1110;96079;39.01
1111,1111;96080;47.84
1112,1112;96081;54.97
1113,1113;96082;54.91
1114,1114;96083;54.35
1115,1115;96084;50.1
1116,1116;96085;47.65
1117,1117;96086;49.68
1118,1118;96087;50.68
1119,1119;96088;54.8
1120,1120;96089;61.01
1121,1121;96090;63.53
1122,1122;96091;54.98
1123,1123;96092;46.22
1124,1124;96093;40.93
1125,1125;96094;40.98
1126,1126;96095;39.1
1127,1127;96096;35.78
1128,1128;96097;35.23
1129,1129;96098;33.96
1130,1130;96099;34.32
1131,1131;96100;33.96
1132,1132;96101;33.93
1133,1133;96102;34.36
1134,1134;96103;38.37
1135,1135;96104;36.88
1136,1136;96105;44.72
1137,1137;96106;45.94
1138,1138;96107;52.29
1139,1139;96108;52.0
1140,1140;96109;49.78
1141,1141;96110;45.82
1142,1142;96111;47.43
1143,1143;96112;49.98
1144,1144;96113;54.92
1145,1145;96114;53.98
1146,1146;96115;50.13
1147,1147;96116;49.92
1148,1148;96117;45.73
1149,1149;96118;47.14
1150,1150;96119;42.06
1151,1151;96120;39.9
1152,1152;96121;39.08
1153,1153;96122;39.02
1154,1154;96123;38.56
1155,1155;96124;39.01
1156,1156;96125;39.05
1157,1157;96126;54.11
1158,1158;96127;66.7
1159,1159;96128;65.38
1160,1160;96129;75.1
1161,1161;96130;74.99
1162,1162;96131;72.19
1163,1163;96132;70.8
1164,1164;96133;71.48
1165,1165;96134;70.82
1166,1166;96135;72.99
1167,1167;96136;69.24
1168,1168;96137;79.46
1169,1169;96138;66.0
1170,1170;96139;67.0
1171,1171;96140;50.94
1172,1172;96141;40.16
1173,1173;96142;40.05
1174,1174;96143;35.74
1175,1175;96144;37.49
1176,1176;96145;37.06
1177,1177;96146;37.06
1178,1178;96147;34.96
1179,1179;96148;37.0
1180,1180;96149;38.14
1181,1181;96150;43.27
1182,1182;96151;55.94
1183,1183;96152;55.95
1184,1184;96153;58.13
1185,1185;96154;54.97
1186,1186;96155;58.92
1187,1187;96156;54.91
1188,1188;96157;58.53
1189,1189;96158;58.17
1190,1190;96159;54.97
1191,1191;96160;57.82
1192,1192;96161;66.33
1193,1193;96162;58.91
1194,1194;96163;55.09
1195,1195;96164;43.53
1196,1196;96165;39.27
1197,1197;96166;39.04
1198,1198;96167;36.34
1199,1199;96168;31.88
1200,1200;96169;31.35
1201,1201;96170;31.74
1202,1202;96171;31.35
1203,1203;96172;31.34
1204,1204;96173;31.34
1205,1205;96174;36.09
1206,1206;96175;46.97
